

Fri Nov 13 17:06:40 2015

 S: 0-newly connected, 1-reconnected with new ip, 2-still connected.
 -------------------------+----+---+-------------------+------------------
        date & time       | id | S |        MAC        |         IP
 -------------------------+----+---+-------------------+------------------
 Fri Nov 13 17:30:27 2015 |  1 | 0 | 78:a5:04:ca:bf:30 |  192.168.7.2
 Fri Nov 13 17:30:27 2015 |  1 | 2 | 78:a5:04:ca:bf:30 |  192.168.7.2
 Fri Nov 13 17:31:28 2015 |  1 | 2 | 78:a5:04:ca:bf:30 |  192.168.7.2


Fri Nov 13 21:33:57 2015

 S: 0-newly connected, 1-reconnected with new ip, 2-still connected.
 -------------------------+----+---+-------------------+------------------
        date & time       | id | S |        MAC        |         IP
 -------------------------+----+---+-------------------+------------------
 Fri Nov 13 21:36:09 2015 |  1 | 0 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:36:18 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:36:27 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:36:35 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:36:44 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:36:52 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:37:02 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:37:10 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:37:18 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:37:27 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:37:35 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:37:44 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:37:53 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:38:01 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:38:10 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:38:19 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:38:27 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11


Fri Nov 13 21:38:29 2015

 S: 0-newly connected, 1-reconnected with new ip, 2-still connected.
 -------------------------+----+---+-------------------+------------------
        date & time       | id | S |        MAC        |         IP
 -------------------------+----+---+-------------------+------------------
 Fri Nov 13 21:38:36 2015 |  1 | 0 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:38:45 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:38:53 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:39:02 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:39:10 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
